SN,Name,Price,Sales,Image URL,Item URL
0,MACBOOK PRO RETINA 13 INCH EARLY 2015 I5 RAM 16GB DDR3 SSD 256 GB DIJAMIN AWET,Rp11.300.000,,https://cf.shopee.co.id/file/d67131bd297f3be17b47d068573cf49f_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13-INCH-EARLY-2015-I5-RAM-16GB-DDR3-SSD-256-GB-DIJAMIN-AWET-i.241417815.9535239729
1,Laptop HP ENVY x360 - 13-ay0006au,Rp17.690.000,,https://cf.shopee.co.id/file/4ef05b8f9b82a5688d53ae0e0fb59152_tn,https://shopee.co.id/Laptop-HP-ENVY-x360-13-ay0006au-i.382765182.8315829042
2,Laptop LENOVO ThinkPad Yoga X1 Carbon GEN5 2in1 Touch | i7 10510 16GB 512ssd W10 14.0FHD |,Rp20.999.000 - Rp21.199.000,,https://cf.shopee.co.id/file/e8448e370565ceda27f7c5c1a546bada_tn,https://shopee.co.id/Laptop-LENOVO-ThinkPad-Yoga-X1-Carbon-GEN5-2in1-Touch-i7-10510-16GB-512ssd-W10-14.0FHD--i.217781231.5679038969
3,MACBOOK PRO RETINA 13INCH MID 2014 CORE I5 RAM 8 SSD 128GB,Rp8.800.000,,https://cf.shopee.co.id/file/193dcb1e095e275e77eeb62c4915d070_tn,https://shopee.co.id/MACBOOK-PRO-RETINA-13INCH-MID-2014-CORE-I5-RAM-8-SSD-128GB-i.241417815.9734153256
4,"Laptop Lenovo Yoga 9i 83ID Core i7-1185G7 16GB 1TB SSD TS 14"" WIN10 +OPI SHADOW BLACK",Rp26.799.000,,https://cf.shopee.co.id/file/632d78ec8ce3681edd2a90e2afbf56af_tn,https://shopee.co.id/Laptop-Lenovo-Yoga-9i-83ID-Core-i7-1185G7-16GB-1TB-SSD-TS-14-WIN10-OPI-SHADOW-BLACK-i.91649692.3983867993
5,LAPTOP SEKEN SEJUTAAN CORE 2 DUO MURAH BISA BUAT LAPTOP ONLINE SHOP WHF WFO Dell d620 d630 d820,Rp1.475.000 - Rp1.775.000,"1,9RB Terjual",https://cf.shopee.co.id/file/da559f539933a037636fd55a12953f79_tn,https://shopee.co.id/LAPTOP-SEKEN-SEJUTAAN-CORE-2-DUO-MURAH-BISA-BUAT-LAPTOP-ONLINE-SHOP-WHF-WFO-Dell-d620-d630-d820-i.18300679.1636649723
6,Laptop LENOVO THINKPAD X230 Core I5 RAM 4/8GB HDD 320/500 GB SSD 120/240GB Original Bergaransi,Rp2.750.000 - Rp3.600.000,538 Terjual,https://cf.shopee.co.id/file/740a5966b234d4c62c0dd107abe6d7ee_tn,https://shopee.co.id/Laptop-LENOVO-THINKPAD-X230-Core-I5-RAM-4-8GB-HDD-320-500-GB-SSD-120-240GB-Original-Bergaransi-i.250685702.3543856127
7,Laptop Lenovo ThinkPad X220 Core I5 RAM 4/8GB HDD 320/500GB / SSD 120/240GB Oroginal Bergaransi,Rp2.500.000 - Rp3.400.000,532 Terjual,https://cf.shopee.co.id/file/3147fd9f754369ecb0dd47b770fd1778_tn,https://shopee.co.id/Laptop-Lenovo-ThinkPad-X220-Core-I5-RAM-4-8GB-HDD-320-500GB-SSD-120-240GB-Oroginal-Bergaransi-i.250685702.7832304523
8,Laptop LENOVO THINKPAD T420 CORE I5 RAM 4/8GB HDD 320GB SSD 120/256GB Original,Rp2.750.000 - Rp3.650.000,521 Terjual,https://cf.shopee.co.id/file/fd00b8a4d3df5b96292562245b939216_tn,https://shopee.co.id/Laptop-LENOVO-THINKPAD-T420-CORE-I5-RAM-4-8GB-HDD-320GB-SSD-120-256GB-Original-i.250685702.5742992781
9,LAPTOP ASUS M509BA AMD A4 9125 7th RAM8GB SSD256GB AMD RADEON GRAPHIC WINDOWS 10+OHS 2019 ORIGINAL,Rp5.399.000 - Rp6.529.000,206 Terjual,https://cf.shopee.co.id/file/fa4b299b6176c146b2e6f1f83985923b_tn,https://shopee.co.id/LAPTOP-ASUS-M509BA-AMD-A4-9125-7th-RAM8GB-SSD256GB-AMD-RADEON-GRAPHIC-WINDOWS-10-OHS-2019-ORIGINAL-i.32829345.1638145252
